台湾,24,1887,15814,13111,816
江苏,54,685,1461,776,0
云南,7,362,921,557,2
河南,7,152,1469,1295,22
湖南,5,97,1167,1066,4
上海,4,91,2373,2275,7
湖北,14,82,68264,63670,4512
广东,2,79,2933,2846,8
香港,5,77,12020,11731,212
四川,3,42,1171,1126,3
福建,0,39,754,714,1
浙江,12,34,1412,1377,1
天津,1,27,436,406,3
山东,1,26,909,876,7
北京,1,24,1103,1070,9
陕西,0,24,665,638,3
辽宁,0,8,438,428,2
内蒙古,0,7,410,402,1
澳门,0,6,63,57,0
重庆,0,4,603,593,6
甘肃,0,4,199,193,2
广西,0,2,277,273,2
海南,0,2,190,182,6
吉林,0,1,574,570,3
山西,0,1,254,253,0
宁夏,0,1,77,76,0
